Site,Lat,Lon,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,Total
LDO,42.856327,-71.356889,3,0,0,0,1,1,95,618,595,637,496,427,263,228,334,309,318,233,83,62,28,1,0,0,4732
ZGB,41.597865,-73.404919,0,0,0,0,0,0,0,454,696,676,653,500,345,262,254,261,234,195,79,1,0,0,2,1,4613
YFD,41.827402,-71.501492,0,0,0,0,0,0,143,634,908,830,606,427,237,214,190,198,155,3,0,0,0,0,0,0,4545
FOX,42.0529,-71.240146,1,0,0,0,0,0,17,798,711,693,622,466,289,245,267,319,30,0,0,0,0,0,0,0,4458
VLZ,42.348463,-71.150388,1,0,0,0,0,0,0,0,390,602,709,659,440,359,421,381,309,159,11,0,0,0,0,0,4441
OLB,41.289548,-72.3871,0,0,0,0,0,0,2,967,817,720,601,424,161,159,227,220,24,0,2,0,0,0,0,0,4324
IWI,41.826775,-72.555485,0,0,0,0,0,0,15,690,716,656,580,399,310,276,253,276,144,0,0,0,0,0,0,0,4315
IGT,41.286317,-73.494442,1,0,0,0,0,2,8,606,793,677,635,440,334,273,232,260,31,0,0,0,0,0,0,0,4292
IRX,41.541844,-72.999732,1,0,0,0,0,0,0,828,751,701,560,403,294,234,229,229,10,0,0,0,0,0,0,0,4240
NBI,41.659521,-72.785399,1,0,0,0,0,0,0,897,774,652,534,352,277,234,260,239,11,0,1,0,0,0,0,0,4232
NHO,41.348365,-72.861765,17,0,0,0,0,0,0,61,1034,837,603,541,239,238,226,213,185,2,0,0,0,0,1,0,4197
BRS,41.694412,-72.912227,7,1,0,0,2,5,3,487,843,715,566,491,249,252,244,298,7,1,0,1,3,0,0,0,4175
NEX,41.310668,-72.945321,1,0,0,0,0,0,0,11,772,634,592,453,364,284,326,366,252,2,0,0,0,0,0,0,4057
YFH,42.588236,-72.573576,0,0,0,0,0,0,0,23,949,598,557,471,369,293,374,349,48,1,0,0,0,0,0,0,4032
GBV,41.761569,-72.743386,2,0,0,0,0,0,18,575,813,692,564,442,254,171,178,198,14,2,0,0,0,0,0,0,3923
YWL,41.821048,-73.076937,3,0,0,0,0,0,1,550,783,689,620,450,28,360,257,140,0,0,0,0,0,0,0,0,3881
HAF,41.769607,-72.701755,19,0,0,0,1,0,0,226,743,667,577,440,267,223,238,198,204,38,1,0,0,0,0,0,3842
GLA,41.712467,-72.604354,0,0,0,0,0,11,381,598,634,582,473,333,217,188,213,167,22,0,0,0,0,0,0,0,3819
EWA,42.992716,-71.472967,10,2,0,0,0,1,532,761,701,556,468,335,20,213,163,9,0,0,0,0,0,0,0,0,3771
IC7,42.597852,-71.806417,2289,0,0,0,0,0,0,0,6,20,29,29,54,209,146,74,27,121,245,266,192,18,0,0,3725
BPG,41.18673,-73.163806,0,0,0,0,0,0,2,461,800,773,642,486,308,218,13,0,1,0,0,0,0,0,0,0,3704
MNF,41.77176,-72.204399,3,0,0,0,0,0,13,860,708,661,520,327,115,161,248,18,0,0,0,0,0,0,0,0,3634
WHN,41.272131,-72.951268,0,0,0,0,0,0,1,696,763,708,550,425,8,212,175,9,17,1,0,0,0,0,0,0,3565
WYM,42.173208,-70.952701,0,1,0,1,0,0,0,402,571,506,516,455,25,395,335,270,26,1,0,0,0,0,0,0,3504
PST,41.525473,-72.997634,0,0,0,0,0,0,2,708,707,632,528,419,9,270,219,3,1,0,0,0,0,0,0,0,3498
YTS,42.901728,-71.31919,2,1,0,0,0,0,357,419,574,537,473,332,199,172,202,178,12,0,0,0,0,0,0,0,3458
YFA,41.652491,-70.288112,0,0,0,0,0,0,199,494,625,568,404,338,221,176,167,141,111,3,0,0,0,0,0,0,3447
KUQ,41.412708,-73.37898,2,3,0,0,0,0,4,751,619,590,464,386,23,291,254,23,0,0,0,0,0,0,0,0,3410
YFB,42.170123,-71.194131,4,0,0,0,0,0,2,590,532,537,474,368,271,224,203,195,5,0,0,0,0,0,0,0,3405
FZM,42.747924,-71.127156,0,0,0,0,4,21,8,478,582,604,463,379,197,199,221,204,1,2,1,0,0,0,0,0,3364
VNJ,42.349455,-71.142682,0,0,0,0,0,0,0,2,308,386,491,486,329,200,342,385,299,113,0,0,0,0,0,0,3341
XIF,41.928659,-70.015735,2,1,0,0,0,0,1,13,409,416,384,368,230,365,277,297,240,165,143,11,0,0,0,0,3322
FJR,41.54212,-72.625733,1,0,0,0,0,0,1,675,592,551,437,308,189,171,140,186,5,0,0,0,0,0,0,0,3256
UB8,42.534799,-71.756508,22,0,1,0,0,0,0,83,540,488,390,313,159,127,234,296,503,85,0,0,0,0,0,0,3241
YXQ,41.264167,-73.000613,1,0,0,0,0,0,0,638,565,577,470,380,184,156,223,11,0,0,0,0,0,0,0,0,3205
EHT,41.769399,-72.654839,0,0,0,0,0,0,10,526,645,576,454,350,196,167,138,138,2,0,0,0,0,0,0,0,3202
HC5,42.269357,-72.200446,0,0,0,0,0,0,0,125,620,596,418,349,226,167,188,213,176,78,2,0,0,0,0,0,3158
WIK,41.921599,-72.66682,11,1,0,0,0,0,1,722,601,515,384,361,17,206,261,16,0,0,0,0,0,0,0,0,3096
NOL,41.109909,-73.40967,0,0,0,0,0,0,3,10,519,501,399,333,243,276,270,309,201,1,0,0,0,0,0,0,3065
QOR,41.779085,-70.001788,1,1,0,0,0,0,327,518,475,450,421,330,40,271,173,10,1,0,0,0,0,0,0,0,3018
WGF,41.480372,-72.807531,1,0,0,0,0,0,1,647,577,530,418,301,114,146,214,47,3,0,0,0,0,0,0,0,2999
MUD,41.379089,-72.913723,1,0,0,0,0,0,11,8,127,454,404,418,197,214,322,323,351,131,23,0,0,0,0,0,2984
JNX,42.75082,-71.460627,0,3,3,0,0,0,40,645,507,510,377,261,32,294,239,39,2,0,1,0,0,0,0,1,2954
WRZ,42.253079,-71.77411,0,0,0,0,0,0,0,169,203,313,372,402,315,199,265,358,300,52,0,0,0,0,0,0,2948
QQU,42.235088,-71.016021,1,0,0,0,0,0,0,60,464,458,435,405,277,50,364,327,11,0,0,0,0,0,0,0,2852
MRB,41.630403,-72.459338,1,0,0,0,1,2,355,498,534,506,458,302,159,4,0,1,0,2,0,0,0,0,0,0,2823
VMS,41.923124,-71.357051,1,0,0,0,0,0,0,8,626,539,405,312,50,231,219,209,154,65,1,1,0,0,0,0,2821
KNL,42.695892,-71.119878,0,0,0,0,0,0,0,5,413,554,472,375,114,166,299,198,199,1,0,0,0,0,0,0,2796
WWD,41.701333,-71.470125,0,0,0,0,0,0,18,554,527,497,417,279,26,223,159,61,0,0,0,0,0,0,0,0,2761
VLY,42.349154,-71.146767,0,0,0,0,0,0,0,0,161,286,397,436,247,324,314,268,242,30,0,0,0,0,0,0,2705
NHA,41.30429,-72.928968,45,0,1,0,0,0,0,14,497,352,369,312,177,250,230,226,201,12,0,0,0,0,0,0,2686
OSV,41.627258,-70.383199,0,0,7,3,0,0,305,481,463,465,391,294,34,203,19,0,1,0,0,0,0,0,0,0,2666
QRA,41.83696,-71.410499,0,0,0,0,0,0,3,313,327,414,372,289,139,245,215,195,142,5,0,0,0,0,0,0,2659
QCN,43.198165,-71.567146,13,1,0,0,0,1,1,576,518,423,320,262,131,166,185,4,0,0,0,0,0,0,0,0,2601
SFE,41.052296,-73.546146,1,0,0,0,0,0,0,381,508,445,344,284,118,120,192,176,3,0,0,0,0,0,0,0,2572
ENF,41.997379,-72.573846,0,0,0,0,0,0,0,14,458,438,369,309,119,167,331,333,33,0,0,0,0,0,0,0,2571
XIE,42.058104,-70.183598,1,0,0,0,0,0,4,10,285,290,297,287,123,261,245,233,215,185,120,6,0,0,0,0,2562
WIS,41.854679,-72.653343,0,0,0,0,0,0,0,387,559,445,338,269,89,126,150,120,6,0,0,0,0,0,0,0,2489
IBC,41.117156,-73.407663,0,0,0,0,0,3,304,497,563,425,350,287,48,4,0,0,0,0,0,0,0,0,0,0,2481
HTD,41.783112,-72.746661,1,0,0,0,0,0,0,12,462,395,355,301,136,146,198,219,202,4,0,0,0,0,0,0,2431
VGB,41.865645,-72.684653,0,0,0,0,0,0,4,300,429,357,252,243,87,127,264,226,121,2,0,0,0,0,0,0,2412
DRN,41.083579,-73.463703,0,0,0,0,0,0,3,522,476,405,307,246,210,222,19,0,0,0,0,0,0,0,0,0,2410
VMR,42.186047,-71.203061,0,0,0,0,0,0,0,1,198,233,318,287,107,253,330,422,192,3,0,0,0,0,0,0,2344
ZT,42.216338,-71.041378,47,0,0,0,0,0,1,7,366,396,418,329,209,129,232,200,4,1,0,0,0,0,0,0,2339
XEG,41.729772,-70.199162,0,0,0,0,0,0,32,545,408,401,314,270,65,172,107,12,0,0,0,0,0,0,0,0,2326
XOI,42.776276,-71.068037,2,0,0,0,0,0,65,577,403,452,339,286,153,3,0,0,0,0,0,0,0,0,0,0,2280
VMY,42.065537,-71.328156,1,0,0,1,0,1,3,270,336,336,278,276,109,172,211,213,8,3,1,2,0,1,0,1,2223
ZU,42.705717,-71.214543,0,0,0,0,0,0,0,54,544,421,353,226,22,194,201,182,8,0,0,0,0,0,0,0,2205
VMO,41.98132,-71.329679,4,0,0,0,0,0,0,5,470,369,268,266,61,172,185,237,94,55,5,0,0,0,0,0,2191
MIF,41.217562,-73.063021,1,0,0,0,0,0,11,266,518,482,455,332,102,2,3,1,0,0,0,0,0,0,0,0,2173
CHL,42.599256,-71.350355,1,0,0,0,0,0,0,287,379,355,304,268,8,238,152,161,6,0,0,0,0,0,0,0,2159
HNV,42.156098,-70.852116,5,0,0,0,0,0,2,3,198,338,316,265,246,124,242,235,161,13,0,2,1,0,0,2,2153
EFE,41.349382,-72.104907,0,0,0,0,0,0,11,445,392,349,321,264,126,90,102,6,0,0,0,0,0,0,0,0,2106
QBE,42.344253,-71.114837,9,0,0,0,0,0,0,0,232,253,303,266,199,148,220,218,235,18,4,0,0,0,0,0,2105
LVW,41.372766,-73.273329,0,0,0,0,0,2,272,422,403,406,337,236,12,0,0,0,0,0,0,0,0,0,0,0,2090
YOB,41.735945,-71.115143,0,0,0,0,0,0,0,267,403,358,297,233,101,151,123,152,5,0,0,0,0,0,0,0,2090
FIT,42.603319,-71.8004,14,0,0,0,1,0,0,5,456,421,343,226,38,175,154,122,116,9,0,0,1,1,0,0,2082
NEF,41.302233,-72.930036,3,0,0,0,0,0,1,9,524,411,316,281,17,180,166,149,8,4,0,0,0,0,0,0,2069
YZS,41.928964,-70.657483,0,0,0,0,0,0,169,229,356,323,348,155,194,185,101,1,0,0,0,0,0,0,0,0,2061
XEU,41.166802,-73.14403,0,0,0,0,0,0,2,580,422,335,270,179,128,131,6,0,0,0,0,0,0,0,0,0,2053
HRW,41.709979,-70.062223,0,2,0,0,0,0,201,393,349,314,295,244,16,187,48,1,1,0,0,0,0,0,0,0,2051
LXT,41.756601,-72.886855,1,0,0,0,0,1,379,345,384,333,327,240,20,2,1,2,1,0,0,0,0,0,0,0,2036
VLV,42.417741,-71.157943,1,0,1,0,0,0,1,4,23,458,356,315,151,213,205,175,113,8,0,1,0,0,0,0,2025
BJO,42.182951,-71.20935,0,0,0,0,0,0,0,0,217,364,343,282,10,158,219,238,162,2,0,0,0,0,0,0,1995
YEZ,42.335556,-72.671667,2,6,1,0,0,0,0,75,152,259,297,248,157,164,191,194,186,32,0,0,0,0,0,0,1964
KMN,41.727939,-72.801295,0,0,0,0,0,0,1,256,277,263,259,269,44,199,217,146,9,1,0,0,0,0,0,0,1941
SMU,41.849485,-72.812921,1,0,0,0,0,0,9,444,381,325,228,189,6,124,107,101,1,0,0,0,0,0,0,0,1916
FRA,42.283533,-71.417208,6,0,0,0,0,0,0,131,304,281,301,267,130,147,183,141,2,1,0,0,0,0,0,0,1894
GOB,43.056128,-70.798956,0,8,5,0,0,0,21,302,313,285,261,239,44,169,173,26,2,0,0,0,0,0,0,1,1849
SGT,41.595862,-72.876268,2,0,0,0,0,0,8,539,448,370,254,214,4,3,3,1,1,0,0,0,0,0,0,0,1847
HRE,41.752649,-72.679733,3,1,0,0,0,0,0,8,383,318,293,202,107,105,147,129,137,6,0,0,0,0,0,0,1839
NDT,41.731338,-70.9432,1,0,0,0,0,0,0,15,372,332,303,279,36,191,183,98,6,0,0,0,0,0,0,0,1816
RXK,41.390104,-72.870811,0,0,0,0,0,0,0,1,356,382,308,245,39,181,156,134,14,0,0,0,0,0,0,0,1816
WLO,42.133319,-71.261853,3,0,0,0,0,0,1,15,492,351,306,258,89,188,101,1,1,0,0,0,0,0,0,0,1806
TKO,42.369339,-71.248432,1,0,0,0,0,0,0,2,341,277,305,255,122,179,172,144,4,0,0,0,0,0,0,0,1802
BT,42.089053,-70.98876,1,0,0,0,0,0,0,215,292,317,253,237,9,209,197,17,2,0,0,0,0,0,0,0,1749
PNS,41.702901,-70.074307,0,0,0,0,0,0,1,328,319,274,225,219,12,152,159,49,1,0,0,0,0,0,0,0,1739
GRT,41.365743,-72.023532,0,0,0,0,0,0,5,329,321,265,235,216,13,152,96,99,6,0,0,0,0,0,0,0,1737
IC8,42.276876,-71.413543,1,0,0,0,0,0,0,4,246,202,168,157,63,89,181,147,171,83,82,115,20,0,0,0,1729
WBU,41.560747,-73.064407,1,0,0,0,0,0,0,6,373,253,255,185,153,115,114,143,123,1,0,0,0,1,0,0,1723
LGW,42.337953,-71.105355,1,0,0,0,0,0,0,0,113,234,227,221,52,211,208,170,227,54,1,0,0,0,0,0,1719
IHP,42.787723,-71.202644,0,0,0,0,0,0,0,2,424,307,283,197,70,120,123,141,42,0,0,0,0,0,0,0,1709
FJO,41.227342,-73.243293,0,2,0,0,0,0,0,10,386,349,299,282,42,157,148,11,0,0,0,0,0,0,0,0,1686
WWT,41.701294,-71.47259,0,0,0,0,0,0,0,130,293,291,273,260,61,119,108,132,8,0,0,0,0,0,0,0,1675
